#fname degree numKnot L1 L2 L3 L4 MSE traceH AIC AIC0 GCV GCV2 cv_avr cv_stdev cv_error ts_avr ts_stdev ts_error sigma0 sigma_opt
BH_0020_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0 2.56763762494515e-006 120 -606.855864714256 1932.99942871045 -0.00251803354039988 0.00352524695656006 0.37676234944708 0.863807004886675 1.05090648795762 -0.0509754142518361 0.33838647727964 0.396261572312195 1 6.54187393182219e-006 
BH_0020_MCA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0 2.12328998440568e-006 121.000000000001 -615.594956657128 1938.99933095397 -0.00224177126947166 0.00323811405590452 0.37956141735344 0.903963032249153 1.0826117648807 -0.0103669949088718 0.072401542887237 0.180726483018547 1 6.55086264591413e-006 
BH_0020_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0001 2.60825778992771e-006 111.62895073992 -655.716124122209 1882.7731420864 -0.00309262745473291 0.00327857149846353 0.347449360227382 0.84542527118535 1.05305965427666 -0.0188662887394381 0.17946053243986 0.250026391865813 1 6.54187393182219e-006 
BH_0020_MCA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0001 2.20142755695772e-006 112.525704277423 -663.816608508181 1888.15357380877 -0.0027762085567314 0.00303717818782781 0.337266836084726 0.87197604144564 1.08047339784131 -0.00373084094312188 0.0336418755460748 0.162475013164428 1 6.55086264591413e-006 
BH_0020_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0002 2.68122433597024e-006 107.613598026999 -677.354411375108 1858.68104186151 -0.00350286851470548 0.00320535023178499 0.331364323921538 0.832118505875568 1.05217324509062 -0.0202647789813924 0.221305744010337 0.282439775252554 1 6.54187393182219e-006 
BH_0020_MCA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0002 2.32626338900366e-006 108.452121912423 -684.065695600894 1863.71210708265 -0.00318486730463502 0.0030080898922017 0.318551735036006 0.851662621533146 1.07547271628979 0.000424234953212988 0.0424297691868563 0.160508481820491 1 6.55086264591413e-006 
BH_0020_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.0005 2.92252929002428e-006 100.583101630958 -711.422422932188 1816.49811657236 -0.00460063785371092 0.00314946169044195 0.308300171237105 0.804908829852151 1.04535207573391 -0.00436766040447505 0.0574808190913059 0.169626808424072 1 6.54187393182219e-006 
BH_0020_MCA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.0005 2.67898070047541e-006 101.339640973951 -714.895147627317 1821.03729904963 -0.00428578483197975 0.00303460252786458 0.297926634232564 0.815071321049793 1.05979705958584 0.00575993907560515 0.0780693521440007 0.168624016860707 1 6.55086264591413e-006 
BH_0020_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.001 3.29020529417348e-006 94.4657710471467 -735.761643409075 1779.79421395821 -0.00629453027783431 0.00317886452508514 0.293488089172912 0.77699568365041 1.03372317690159 0.0021818323097266 0.0291060727294796 0.155784440503096 1 6.54187393182219e-006 
BH_0020_MCA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.001 3.14106799157937e-006 95.1678408469148 -736.407503027793 1784.00659994661 -0.00595246285609419 0.00312345222186668 0.287222582188524 0.782086289062894 1.04168290380066 0.00972085608767071 0.107930694918849 0.181162735584208 1 6.55086264591413e-006 
BH_0020_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.002 5 120 0 0 0 0.002 3.89339820838554e-006 88.1099909535317 -753.6112431958 1741.65966609896 -0.00979241087987884 0.00329135854704416 0.282791248266928 0.744082141253956 1.01647446583873 0.00812719190649971 0.0763416402668563 0.165726434461526 1 6.54187393182219e-006 
BH_0020_MCA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.002 5 121 0 0 0 0.002 3.82470365891337e-006 88.7629977760658 -751.877776489309 1745.57769192137 -0.00929488113799562 0.00327842516738483 0.280061968010343 0.746244087603596 1.01991659965955 0.00768353056106941 0.0821700946619743 0.168878204237249 1 6.55086264591413e-006 
BH_0020_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.005 5 120 0 0 0 0.005 5.1660232873725e-006 79.8073432210244 -760.629374651665 1691.84405968144 -0.0257457914811783 0.0035667740189495 0.273742633909878 0.697128537852199 0.989022037110941 0.00480044378840504 0.0352026152553419 0.154486887662656 1 6.54187393182219e-006 
