#fname degree numKnot L1 L2 L3 L4 MSE traceH AIC AIC0 GCV GCV2 cv_avr cv_stdev cv_error ts_avr ts_stdev ts_error sigma0 sigma_opt
BH_0003_ICA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0 0.000182319173609124 120 -34.6033823215721 2704.97286662459 -10135022005320 0.0202538426136997 0.623553072077593 2.38709842622813 2.41287414008667 -0.708163953297765 6.11010364133928 6.17080251709898 1 0.000182319173609124 
BH_0003_ICA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0 0.000212042732749889 121 25.7670474713902 2710.98356710588 -1.7474024583932 0.0219339220718806 0.635065831296442 2.38586515338398 2.41000181367688 -0.38650391127369 5.82137890555369 5.84653063898421 1 0.000212042732749889 
BH_0003_ICA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0001 0.000186820486777952 113.718352803211 -63.4051562118784 2667.2846039166 0.261107865632547 0.0199794119157348 0.59169893796225 2.23143959261594 2.26417070032966 -0.822893813491776 6.24869639195729 6.32478610608748 1 0.000182319173609124 
BH_0003_ICA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0001 0.000215505920154374 114.645494843747 -6.48028436280947 2672.85778291583 0.328996674031785 0.0215396214514743 0.599926959034355 2.20731752079236 2.23900695886653 -0.601226251211118 6.04473045676303 6.09187835646924 1 0.000212042732749889 
BH_0003_ICA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0002 0.000195037519804704 110.578708207605 -66.0180056973318 2648.44969447485 0.17788112770189 0.020157100419093 0.57556845984338 2.12775273699813 2.16497422571782 -0.739303127203016 6.45214762433131 6.51386107699596 1 0.000182319173609124 
BH_0003_ICA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0002 0.00022169552838285 111.463630760539 -15.0629315811366 2653.76882667554 0.209308333844336 0.0215670635415561 0.582166640613897 2.09726708527063 2.13379462669976 -0.544896629627097 5.42058673892988 5.46561325238653 1 0.000212042732749889 
BH_0003_ICA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.0005 0.00022063470599621 104.465068383745 -52.1566853746542 2611.77707051872 0.114738406575335 0.020926140570668 0.552884686315785 1.9567421922755 2.00181689549536 -0.0966642533320712 5.99596448763382 6.0012529836516 1 0.000182319173609124 
BH_0003_ICA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.0005 0.000241197958619937 105.281988207916 -19.0421266337253 2616.68599223469 0.126624841111001 0.0219497540617239 0.557002299849382 1.92465759779033 1.96958778701436 -0.261891513247455 5.53871362232051 5.55439764397894 1 0.000212042732749889 
BH_0003_ICA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.001 0.000253419378694386 98.6911164442109 -22.0651202019344 2577.14516136369 0.0896479702088829 0.021931495005443 0.539746793645778 1.83750762969184 1.88842181323971 0.00466792947035624 5.93116018719549 5.93307070785291 1 0.000182319173609124 
BH_0003_ICA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.001 0.000267029246709808 99.4530282044795 -10.1602751379478 2581.72153147779 0.0954361336236098 0.0225785415849326 0.54230717368376 1.80977162599922 1.86084717509336 -0.315339464710836 4.160725706103 4.18725059258408 1 0.000212042732749889 
