#t s x y z curvature torsion
5 0 -0.000362210311048649 0.0568166584551808 0.00606796553115217 0.440854380224218 -0.0483300901227079
5.1 0.0495459515512381 -0.045961145749044 0.0397236433896439 -0.0030626006072914 0.445064583985451 -0.0513798536272861
5.2 0.0984429000768327 -0.0908999379395351 0.023138226735719 -0.0128779195521965 0.448856965769946 -0.0546133077863296
5.3 0.146717228263626 -0.13519149942898 0.00705457881083095 -0.0233652744208528 0.4522044383329 -0.058040642592214
5.4 0.194395104724291 -0.178848742748821 -0.00853313012178897 -0.0345119483526869 0.45508129001771 -0.0616726972352982
5.5 0.241502452414304 -0.221884580423251 -0.0236307299176509 -0.0463052245069987 0.457463492350843 -0.0655210440987932
5.6 0.288064916395312 -0.264311924976984 -0.0382440506155536 -0.0587323860606984 0.459328999473507 -0.0695980876044121
5.7 0.334107831152553 -0.306143688943027 -0.0523789225021319 -0.0717807162060429 0.460658032860041 -0.0739171799231752
5.8 0.379656187690519 -0.347392784870442 -0.0660411761764038 -0.0854374981483726 0.461433344776988 -0.0784927557618268
5.9 0.42473460064481 -0.388072125332123 -0.0792366426143182 -0.0996900151038481 0.461640454175118 -0.0833404886641344
6 0.469367275658468 -0.428194622932559 -0.0919711532333019 -0.114525550297187 0.461267849185223 -0.0884774715395788
6.1 0.513577977278577 -0.467773190312159 -0.104250539965295 -0.129931386964079 0.460307158259921 -0.0939084157559457
6.2 0.557389997653779 -0.506820740061917 -0.116080635550465 -0.145894808475241 0.458753289163246 -0.0996372236024817
6.3 0.60082612632945 -0.545350184410501 -0.127467274391109 -0.162403098769257 0.456604475099577 -0.105682352599823
6.4 0.64390862135884 -0.583374434821691 -0.138416293626238 -0.179443542907054 0.453862291700629 -0.11206434887609
6.49999999999999 0.686659181945679 -0.62090640158836 -0.14893353421464 -0.197003427631058 0.450531633765224 -0.118806171601246
6.59999999999999 0.72909892283939 -0.657958993426466 -0.159024842017956 -0.215070041924354 0.446620644664386 -0.125933562513073
6.69999999999999 0.771248350686558 -0.694545117069039 -0.168696068883746 -0.233630677569839 0.442140600611471 -0.133475466975191
6.79999999999999 0.81312734252066 -0.730677676860165 -0.177953073728558 -0.252672629709381 0.437105753237407 -0.141464514326047
6.89999999999999 0.85475512654764 -0.766369574348972 -0.186801723620999 -0.272183197402976 0.43153313501488 -0.149937566895474
6.99999999999999 0.8961502653584 -0.801633707883624 -0.195247894864805 -0.292149684187902 0.425442333001068 -0.158936349038434
7.09999999999999 0.937330641668402 -0.836482972183907 -0.203297474096495 -0.312559398663004 0.418855467369773 -0.168447491972304
7.19999999999999 0.978313446598517 -0.87093025735757 -0.210956359762357 -0.333399655726233 0.411797609115076 -0.178451352712821
7.29999999999999 1.01911517050431 -0.904988446504638 -0.218230464558307 -0.354657779470462 0.404295790998457 -0.188988224252941
