#fname degree numKnot L1 L2 L3 L4 MSE traceH AIC AIC0 GCV GCV2 cv_avr cv_stdev cv_error ts_avr ts_stdev ts_error sigma0 sigma_opt
BG_0012_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0 8.90661992144937e-005 120 -1022.88508907449 4138.50656456489 0.0225047815359982 0.0117024863987188 0.672198333653089 0.991662589047067 1.03694868185522 -0.0963044222712025 6.68395395177916 6.68868496208482 1 9.39402833492124e-005 
BG_0012_MCA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0 9.70576889199793e-005 121 -959.196732504603 4144.51151928851 0.0237669547398806 0.0122406961285567 0.656546327803636 0.997735766142356 1.047414759841 0.0303584786481606 8.3880995614227 8.3890288725835 1 0.00011090814767841 
BG_0012_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0001 9.1028897935973e-005 115.356623731184 -1037.79165776999 4110.64752382521 0.0215944193189973 0.0117218660617123 0.64094739239304 0.94148328254769 0.999089291793187 -0.215441561527234 5.90522483223068 5.91684650870998 1 9.39402833492124e-005 
BG_0012_MCA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0001 9.89713086528981e-005 116.321808491184 -976.568342564695 4116.44355667985 0.0227573480007443 0.012245970218117 0.627191589410286 0.929755027420717 0.992784330832729 0.228888196526099 7.14980419457923 7.15018367371346 1 0.00011090814767841 
BG_0012_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0002 9.39402833492124e-005 113.139194316125 -1031.88127245852 4097.34475239381 0.0214169276867071 0.0118557467233004 0.623607459155032 0.92576490886716 0.990315671068137 -0.421966846926873 6.98667660048573 7.01047774050716 1 9.39402833492124e-005 
BG_0012_MCA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0002 0.000101462267616603 114.078553766835 -976.102883524149 4102.98557272832 0.0224836845990185 0.0123441412311587 0.61368925602371 0.9140979237734 0.983022926117472 0.589622027751644 8.41961552317802 8.43081419495946 1 0.00011090814767841 
BG_0012_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.0005 0.000104882470994718 108.324014807939 -988.55459479857 4068.46045950103 0.0215218685750044 0.0124093236141995 0.595942136858781 0.893886741774841 0.971052245645398 -0.50211350254412 6.27831945290893 6.31263705251121 1 9.39402833492124e-005 
BG_0012_MCA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.0005 0.00011090814767841 109.210660368246 -952.505776787609 4073.78406878242 0.022332819228209 0.0127829647322021 0.592278329006173 0.882893903127122 0.962394814934062 0.152103302805862 5.86059279889297 5.86059362927909 1 0.00011090814767841 
BG_0012_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.001 0.000121806617918769 103.247590534955 -907.314828287409 4038.01240683422 0.0220549066217221 0.0132417267450245 0.580578509179117 0.863513640390222 0.949451047606214 0.142052056196417 7.50182611752436 7.50183767978646 1 9.39402833492124e-005 
BG_0012_MCA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.001 0.000125800095228819 104.082829482876 -900.023625994644 4043.02631647768 0.0225960215233452 0.0134788298902452 0.581387431738224 0.853576111689058 0.940082829618256 0.233263085173661 7.53138103661319 7.53178535000472 1 0.00011090814767841 
