s,curvature,torsion
0,0.136097831871609,0
0.0153356591691603,0.133468421923526,0
0.030661597775157,0.1308277175716,0
0.045978072698455,0.12817600778015,0
0.0612853373298875,0.125513578254819,0
0.0765836416354953,0.122840711420721,0
0.0918732322221055,0.120157686406927,0
0.107154352403628,0.117464779037199,0
0.12242724226805,0.114762261826914,0
0.137692138745116,0.112050403986114,0
0.15294927567466,0.109329471428629,0
0.168198883875639,0.106599714745753,0
0.183441191216981,0.10386133298685,0
0.19867642269207,0.101114509621796,0
0.213904800494924,0.0983594246159272,0
0.229126544096873,0.095596254499524,0
0.244341870323701,0.0928251724427524,0
0.259550993433235,0.0900463483362012,0
0.274754125193364,0.0872599488772109,0
0.289951474960502,0.0844661376623036,0
0.305143249758468,0.0816650752860543,0
0.320329654357827,0.0788569126377906,0
0.335510891356596,0.0760417705329624,0
0.350687161263772,0.0732197601752203,0
0.365858662584183,0.0703909901000531,0
0.381025591903723,0.0675555663348928,0
0.396188143974952,0.0647135925728364,0
0.411346511803045,0.0618651703633388,0
0.426500886732103,0.0590103993246174,0
0.441651458531817,0.0561493773844884,0
0.456798415484497,0.0532822010593502,0
0.471941944472358,0.0504090041497081,0
0.487082231062653,0.0475300733696828,0
0.502219459586842,0.0446457339528148,0
0.517353813217736,0.0417563118914963,0
0.53248547404706,0.0388621347299049,0
0.547614623163476,0.0359635327108846,0
0.562741440731064,0.0330608404933898,0
0.577866106068201,0.030154399825142,0
0.592988797726837,0.0272445638850458,0
0.608109693572112,0.0243317046966162,0
0.623228970861968,0.0214163443913828,0
0.638346806318355,0.0184995347330841,0
0.653463376176691,0.0155825581208854,0
0.668578856226994,0.0126669390356107,0
0.683693421854959,0.00975480443003413,0
0.698807248083174,0.0068501587982543,0
0.713920509612365,0.00396572425996555,0
0.729033380862514,0.00122867707530058,0
0.744146036013747,0.00204833957391241,0
0.759258649046837,0.00486668699455952,0
0.774371393782632,0.0077362559430188,0
0.789484443905603,0.0106075164315511,0
0.804597972947891,0.0134711377215785,0
0.81971215425699,0.0163228076735656,0
0.834827160961396,0.0191594832805217,0
0.849943165934548,0.0219785670158441,0
0.865060341756763,0.0247776527487736,0
0.880178860674883,0.0275544295284856,0
0.89529889455937,0.0303066397628899,0
0.910420614858584,0.0330320591843107,0
0.925544192549162,0.0357282283755191,0
0.940669798062389,0.0383916733474619,0
0.955797601154141,0.041018678558233,0
0.97092777074941,0.0436055441783163,0
0.986060474780761,0.0461485857800805,0
1.00119588002108,0.0486441344791148,0
1.01633415191024,0.0510885373516179,0
1.03147545437531,0.0534781580215667,0
