#fname degree numKnot L1 L2 L3 L4 MSE traceH AIC AIC0 GCV GCV2 cv_avr cv_stdev cv_error ts_avr ts_stdev ts_error sigma0 sigma_opt
BH_0016_ICA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0 0.000963630896339189 120 478.131560318741 3896.40662215164 0.0827797461579074 0.0392114587063777 0.477558019402649 0.588231108509019 0.770557209869267 0.0682951157365821 2.84894312091509 2.8502690013375 1 0.00112397621695876 
BH_0016_ICA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0 0.000690844778805111 121 293.37481963766 3902.24949734794 0.0710776597023455 0.0332737176189013 0.484717497644927 0.631747328994921 0.799857138174728 -0.0851560675387315 3.39562044823218 3.40411814876934 1 0.000814697779937298 
BH_0016_ICA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0001 0.00097184177022581 115.185183331483 453.450456956123 3867.5224516039 0.0779209091341014 0.0389667180824544 0.462139420190454 0.570606588858792 0.767411895826938 0.194823637993249 2.8292361761298 2.82951330501149 1 0.00112397621695876 
BH_0016_ICA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0001 0.000704427650974855 116.117576052969 273.68351112125 3872.96277740012 0.0671549810543674 0.0332425146765949 0.464541335766655 0.610003726292337 0.795596844416194 0.0420165168462472 3.65903660564616 3.6607874304653 1 0.000814697779937298 
BH_0016_ICA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0002 0.000983844964666833 112.864798052728 445.679378640411 3853.60705377136 0.0761017856806252 0.0390101863542001 0.454554010948638 0.564150275891957 0.76774814113817 0.274540207295965 2.41742601171889 2.42036879321127 1 0.00112397621695876 
BH_0016_ICA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0002 0.000727727725442479 113.749343655205 275.947517330388 3858.76680385644 0.0661908107055379 0.0336147129957073 0.454075898792274 0.599606103189281 0.794479280822141 0.129535337120539 4.10390979244557 4.10399018584278 1 0.000814697779937298 
BH_0016_ICA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.0005 0.00103399903601249 107.890870328308 441.538086647407 3823.79237616994 0.073403734641252 0.0395672110026411 0.439955584859481 0.550710596132654 0.768030572813151 0.306727154598622 2.59815293004145 2.60256645018221 1 0.00112397621695876 
BH_0016_ICA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.0005 0.000814697779937298 108.688717515499 307.072514509462 3828.45314176958 0.0657802735419244 0.035181510631348 0.436512088078362 0.578334290323592 0.790416403870548 0.226409765089134 3.61044598341065 3.61114770411887 1 0.000814697779937298 
BH_0016_ICA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.001 0.00112397621695876 102.718233257121 456.612542572333 3792.80838059904 0.0720969701320495 0.0408019830205816 0.427599530880302 0.537238902442886 0.767200422092617 0.367308456228154 3.88393065484995 3.88971689607987 1 0.00112397621695876 
BH_0016_ICA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.001 0.000949232317341571 103.44660406949 370.737183423862 3797.07795298708 0.0668008926554432 0.0375541427493972 0.424050853074669 0.557968773438128 0.7843467265843 0.411363180833398 3.63711489695847 3.64612294316398 1 0.000814697779937298 
BH_0016_ICA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.002 5 120 0 0 0 0.002 0.00128299707925228 96.7340676868318 502.200391524883 3756.99498319399 0.0721899000555548 0.0430485728405148 0.416356943114809 0.521919207897135 0.764729981233956 0.406660132765606 2.46938430898507 2.48215218084054 1 0.00112397621695876 
BH_0016_ICA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.002 5 121 0 0 0 0.002 0.00115462216928926 97.4008624020721 479.675544396912 3760.92180753729 0.0689658347867902 0.0408950287329964 0.414498119868445 0.536203440880379 0.775891619842593 0.375521160799584 2.83017206561988 2.83873301990698 1 0.000814697779937298 
BH_0016_ICA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.005 5 120 0 0 0 0.005 0.00163804165309185 88.3346465563263 633.752264935713 3706.80296208549 0.0749600843357812 0.04780386948937 0.401322954413939 0.50149061312516 0.76219242432596 0.191376035373579 2.50492074598781 2.50518162588977 1 0.00112397621695876 
BH_0016_ICA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.005 5 121 0 0 0 0.005 0.00155246299859734 88.9345478980802 710.155357306168 3710.35307683102 0.073400453814589 0.0465956942187534 0.401874093104969 0.509557892750341 0.767112331758345 0.156106308211274 2.2759257292532 2.275925900626 1 0.000814697779937298 
BH_0016_ICA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.010 5 120 0 0 0 0.01 0.00206625358607997 82.0137717481168 815.271226452877 3669.12436330963 0.0793514249128682 0.0530028780162392 0.389577577649376 0.484795207507798 0.760323517198381 0.0706253940942107 2.24023876088298 2.24183551514223 1 0.00112397621695876 
BH_0016_ICA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.010 5 121 0 0 0 0.01 0.00199250728680023 82.5706634476362 983.088045082303 3672.42323563836 0.0783190519450985 0.0521071687000477 0.390868358537693 0.490226725707371 0.762808822284253 0.0524788291328847 1.85725405649397 1.86009381880728 1 0.000814697779937298 
BH_0016_ICA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.020 5 120 0 0 0 0.02 0.00270779931519416 75.9139358241961 1107.44281512164 3632.89487810608 0.0860655560095554 0.0599357533070899 0.376853838189102 0.466890684703278 0.759025234420594 -0.0303980644066587 1.87995378275721 1.889095402711 1 0.00112397621695876 
BH_0016_ICA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.020 5 121 0 0 0 0.02 0.00262841517885215 76.4317794579957 1395.84838782176 3635.95621464634 0.0851745378260751 0.059111865210526 0.378380791815655 0.470667907561569 0.760154866168124 -0.0603595239844858 2.00401912598838 2.01558143557254 1 0.000814697779937298 
