File,DropRatio,Points,MaxDist,MeanDist
BG0001_L_siphon_lab.vtk,0.1,31,0.29428539508150026,0.1376028769939871
BG0001_L_siphon_lab.vtk,0.2,27,0.2363529951251973,0.10405913665110263
BG0001_L_siphon_lab.vtk,0.30000000000000004,22,0.1482502995844382,0.06488795051450252
BG0001_L_siphon_lab.vtk,0.4,20,0.11399119808898273,0.050918181441447566
BG0001_L_siphon_lab.vtk,0.5,17,0.07088041492964142,0.034061614861403036
BG0001_L_siphon_lab.vtk,0.6,15,0.049965074705654755,0.025190506570106574
BG0001_L_siphon_lab.vtk,0.7000000000000001,13,0.0303572415978966,0.016201351544450647
BG0001_L_siphon_lab.vtk,0.8,9,0.008599390682877989,0.005793636933573017
BG0001_L_siphon_lab.vtk,0.9,6,0.003366538196320129,0.002176584428968462
BG0001_R_siphon_lab.vtk,0.1,33,0.18756951949400782,0.046853003631142545
BG0001_R_siphon_lab.vtk,0.2,28,0.09457529105469478,0.020788470314937996
BG0001_R_siphon_lab.vtk,0.30000000000000004,24,0.0292174294475335,0.009415778324310948
BG0001_R_siphon_lab.vtk,0.4,20,0.013407980752184856,0.006546633714522669
BG0001_R_siphon_lab.vtk,0.5,17,0.012452552757922258,0.005285192139237232
BG0001_R_siphon_lab.vtk,0.6,14,0.009045648824299785,0.004210905579880291
BG0001_R_siphon_lab.vtk,0.7000000000000001,13,0.00690363450968326,0.003154248204558502
BG0001_R_siphon_lab.vtk,0.8,9,0.002227956110360224,0.001334422492761941
BG0001_R_siphon_lab.vtk,0.9,6,0.00042366195768218234,0.00035518082966607317
BG0004_L_siphon_lab.vtk,0.1,32,0.0749625851068152,0.030807241240068412
BG0004_L_siphon_lab.vtk,0.2,26,0.045398829021441656,0.020633790970488328
BG0004_L_siphon_lab.vtk,0.30000000000000004,22,0.03070413592482124,0.013739752232419905
BG0004_L_siphon_lab.vtk,0.4,19,0.028200082108264635,0.010702985033148153
BG0004_L_siphon_lab.vtk,0.5,17,0.01669267357037374,0.00658805811358049
BG0004_L_siphon_lab.vtk,0.6,13,0.008502158341957833,0.003320692630127031
BG0004_L_siphon_lab.vtk,0.7000000000000001,11,0.00392628228366565,0.001998751733051096
BG0004_L_siphon_lab.vtk,0.8,8,0.0010101384080585946,0.0005386891793998645
BG0004_L_siphon_lab.vtk,0.9,6,0.0006019412891752896,0.00032329326396626665
BG0004_R_siphon_lab.vtk,0.1,29,0.07388022094767388,0.031423500308682954
BG0004_R_siphon_lab.vtk,0.2,24,0.045380470769813885,0.01895018003808584
BG0004_R_siphon_lab.vtk,0.30000000000000004,21,0.030303332237006653,0.01283384735555681
BG0004_R_siphon_lab.vtk,0.4,16,0.013025073991250302,0.00582585886319067
BG0004_R_siphon_lab.vtk,0.5,15,0.008263650416696078,0.004644262077117076
BG0004_R_siphon_lab.vtk,0.6,12,0.006213800962877325,0.0025201065068764152
BG0004_R_siphon_lab.vtk,0.7000000000000001,9,0.00201128454026267,0.0010392495751097486
BG0004_R_siphon_lab.vtk,0.8,7,0.0008018146419555838,0.0005163142537648721
BG0004_R_siphon_lab.vtk,0.9,5,0.00042233636090965865,0.0002282541735285616
BG0006_L_siphon_lab.vtk,0.1,29,0.3195847897781321,0.13656693009752266
BG0006_L_siphon_lab.vtk,0.2,22,0.17384329341331606,0.07776094644799393
BG0006_L_siphon_lab.vtk,0.30000000000000004,18,0.10368589483377377,0.04858734165317871
BG0006_L_siphon_lab.vtk,0.4,15,0.06665844316253122,0.0319831430878156
BG0006_L_siphon_lab.vtk,0.5,13,0.04132672599191012,0.021698922050062745
BG0006_L_siphon_lab.vtk,0.6,11,0.026070083863638294,0.013891060083050643
BG0006_L_siphon_lab.vtk,0.7000000000000001,8,0.009403849288741467,0.006421768116602773
BG0006_L_siphon_lab.vtk,0.8,7,0.005758039725663772,0.004126211615746996
BG0006_L_siphon_lab.vtk,0.9,5,0.002556752124260278,0.0014738274249162901
BG0006_R_siphon_lab.vtk,0.1,36,0.07555657535823906,0.04436203135474682
BG0006_R_siphon_lab.vtk,0.2,32,0.08471350517455552,0.038634346432413674
BG0006_R_siphon_lab.vtk,0.30000000000000004,27,0.07197391418565943,0.02654738943661364
BG0006_R_siphon_lab.vtk,0.4,23,0.05314938843766369,0.017805705089573715
BG0006_R_siphon_lab.vtk,0.5,20,0.02962783596058527,0.010271181572998705
BG0006_R_siphon_lab.vtk,0.6,17,0.020659488570168687,0.007017856282127015
BG0006_R_siphon_lab.vtk,0.7000000000000001,14,0.007728804308270526,0.0029327916931092732
BG0006_R_siphon_lab.vtk,0.8,10,0.002067855001459562,0.000957473560407336
BG0006_R_siphon_lab.vtk,0.9,7,0.0004055555399607412,0.00016466739086998234
BG0007_L_siphon_lab.vtk,0.1,36,0.48629586443224493,0.19133640526015128
BG0007_L_siphon_lab.vtk,0.2,35,0.4604887244136713,0.18093111536055012
BG0007_L_siphon_lab.vtk,0.30000000000000004,33,0.3934220767601174,0.15629932138157054
BG0007_L_siphon_lab.vtk,0.4,30,0.29531548050896184,0.1239634595577766
BG0007_L_siphon_lab.vtk,0.5,27,0.22113382812901183,0.09502422288566556
BG0007_L_siphon_lab.vtk,0.6,24,0.1706455077602157,0.0715554248478801
BG0007_L_siphon_lab.vtk,0.7000000000000001,20,0.11033376547506779,0.04906828625503444
BG0007_L_siphon_lab.vtk,0.8,12,0.030507803871842543,0.016317883726145604
BG0007_L_siphon_lab.vtk,0.9,8,0.009965954207922761,0.00654457868133396
BG0007_R_siphon_lab.vtk,0.1,32,0.02848713998792418,0.00795939447109656
