k,PC,curvature_C0,curvature_C1,curvature_C2,curvature_C3,curvature_C4,siphon_length,siphon_position
2,PC1,0.3715283444636067,-0.7962778068021357,-0.9705950009886463,-0.8816561813395473,-0.40559189131714823,0.1114902170676238,0.44365757243578463
2,PC2,0.9276147250538229,0.2602173570122212,0.019933969336403012,0.44309398583417386,-0.8257980272113117,-0.9470781596765974,-0.8739865457098768
3,PC1,0.37989700509598934,-0.4198584469486381,-0.9680601826048103,-0.8251684528054043,-0.19635242134994926,0.0687582526600101,0.4074870839832637
3,PC2,0.8860480965796798,0.14737323658639315,0.017420126214221288,0.46698676887443114,-0.3544198027454404,-0.5934287027321541,-0.7984854139561482
3,PC3,-0.08947195154812858,0.8516678179253185,-0.10464411334714481,-0.10495303188629561,0.8199874534515703,-0.774284524378469,-0.4041869096874674
4,PC1,0.39495712151367124,-0.21650487246732023,-0.9334797170445459,-0.8287606550585809,-0.14765149172679518,-0.02957946419470541,0.43900636555459394
4,PC2,0.7431786488535804,0.025448998440755245,-0.017557120956197395,0.4420618652751586,-0.3141041085852771,-0.35764357819690984,-0.7523458462760888
4,PC3,-0.18066608529110262,0.3364749684842187,-0.1724619196424888,-0.05828324187997831,0.6678849085174912,-0.4290563737405414,-0.42254462576400753
4,PC4,0.23556681640428614,0.8804055960366183,0.12832717198343982,-0.1255540859969573,0.5618181846587147,-0.7251330923702516,-0.15110249244170534
5,PC1,0.43889966102880984,-0.2073541023670118,-0.9047783405773926,-0.665269259956982,-0.03302422402796218,-0.04650563116050692,0.4415788217301101
5,PC2,0.6090997939965456,-0.030530846730649736,-0.046090858118858574,0.3837148496379398,-0.14644089501392163,-0.35962317388480813,-0.7315195182313294
5,PC3,-0.2454015771148397,0.2776598122994413,-0.19388475946301353,-0.03510113003502718,0.5047612183935639,-0.413650086558281,-0.40078685535272496
5,PC4,0.0070769385370876015,0.7271528788309687,0.1292492088586825,-0.09966495923002161,0.33231532016983795,-0.6629572710291014,-0.09392738452596022
5,PC5,-0.17111159053871233,-0.20668405434416506,-0.21394527200378496,-0.5687183805668832,-0.676920040150267,-0.28058656750573413,0.2160059656919071
6,PC1,0.4152650819193823,-0.21860926922665264,-0.8758600995613619,-0.33327462934061486,-0.052430874166277314,-0.028652985385117888,0.3622602311746552
6,PC2,0.5902405918266828,-0.01901352558460709,-0.04123702661041517,0.19841928744403275,-0.14248980357121688,-0.3566438707608117,-0.6105313159374539
6,PC3,-0.28185943137588926,0.1677487387807286,-0.18871966977537707,-0.00859408799997198,0.5227409066501469,-0.3488196962314852,-0.35234140185406215
6,PC4,-0.00963259745125819,0.5410514984634356,0.12964991697779232,-0.03302281991444983,0.3768199409481944,-0.6180116075987264,-0.029173946250789465
6,PC5,-0.18921097299500778,-0.30560323158711955,-0.22384972868584024,-0.2632832943129255,-0.5948770094885311,-0.22196553446711528,0.19503435728086638
6,PC6,-0.12651773956022921,0.4047524585674657,-0.1743741457961181,0.8644574312352643,0.1305398959746829,0.4163410145146243,-0.5159630576617058
7,PC1,0.26664675465575305,-0.20033271204745967,-0.8252857086705722,-0.27917575444294285,-0.014395457756332539,-0.04298711295765396,0.35351185169978816
7,PC2,0.421945012486027,-0.025375641191767245,-0.0677678910670516,0.13910758556895048,-0.2341919575818,-0.35884184629621263,-0.5899532280430395
7,PC3,-0.16497191546232878,0.14996986016112113,-0.15077116361860396,-0.012796973211769036,0.5192445401134667,-0.33050507528866335,-0.33964231528049876
7,PC4,0.02090276130476086,0.48868674751089125,0.11787322670006001,-0.043267612902703805,0.3091236090701242,-0.5908717474175768,-0.027697109344760263
7,PC5,-0.09747168386670481,-0.29813049293404875,-0.21486281957447392,-0.23215597692270867,-0.50363080322228,-0.206881031632474,0.19630324364242996
7,PC6,-0.09238442576599018,0.3837742922738285,-0.17032388218899347,0.7005660323798746,0.05667270950524741,0.3991794264880994,-0.5065276518820613
7,PC7,-0.7607301164801594,0.3305728607328802,-0.32905844430020603,0.5762168825830866,0.40143926876919256,-0.23427327140412474,-0.22583909807270242
8,PC1,0.27159608108212074,-0.1272067272311618,-0.8073798345912182,-0.27823210130496107,-0.003634465501605587,-0.057435029046856226,0.3415594458540032
8,PC2,0.41188650338327515,-0.1481574363756536,-0.06045872781427633,0.1523877247284421,-0.17092137293385581,-0.3349681947302562,-0.5500599347477447
8,PC3,-0.1544599874478535,0.05338479068617452,-0.14337469692367305,-0.0383875190835235,0.4048991718328246,-0.37304729494502287,-0.27465825283473566
8,PC4,0.009448349462916145,0.1438717167651651,0.1393159754130583,-0.05269682068868736,0.24009757924178932,-0.5702390994604878,0.02206925933577906
8,PC5,-0.10397621332998729,-0.4245732986945685,-0.18997146323520941,-0.24154893582714085,-0.42309678470137635,-0.20848974150272473,0.22958106490412558
8,PC6,-0.08102627393868714,0.4804104028657428,-0.17482931208529784,0.6892966761286439,0.044847384495935144,0.348675973144994,-0.47658707828767055
8,PC7,-0.763879925323378,0.23467421658412782,-0.3178129306760895,0.5642346187844031,0.32357654727591867,-0.23160085393322985,-0.2204465991605197
8,PC8,0.08293171350947601,0.1381206263794537,0.23457186838575775,0.12146382138577072,0.5909116105669976,0.2420214932229522,-0.3117938424742327
9,PC1,0.279569271586268,-0.13782363902831396,-0.7940446181765667,-0.27570791238288767,0.003733535247792602,-0.039463886360706496,0.30542478987634514
9,PC2,0.39446536938814025,-0.1811396714990974,-0.032957370874555775,0.15150095028056354,-0.18903182672474406,-0.33915366925360874,-0.5221550092158997
9,PC3,-0.16727746504191676,0.0604446877337247,-0.10750370305034689,-0.031736998209965755,0.3986874889669235,-0.38005228287213444,-0.25482131021671384
9,PC4,-0.006734516044476252,0.18229443613103335,0.1787327950592141,-0.05812993188793655,0.23455168779879068,-0.5684928117317951,0.036683688518972954
9,PC5,-0.12046652280315417,-0.3965837883973694,-0.18834264639037648,-0.2394142332515919,-0.41305995784929983,-0.1988784382019723,0.2290075019529208
9,PC6,-0.07894608399371175,0.45865751023278667,-0.15655384801472702,0.6313477045462101,0.03799541763216589,0.33832393926742055,-0.46957953331979163
9,PC7,-0.7530814696600653,0.2731881792305414,-0.3047545494921436,0.5133882895058197,0.3220893254019192,-0.2356638344808179,-0.2255030833956148
9,PC8,0.10058127226463834,0.1412611053385642,0.24575310745725817,0.12647608634581606,0.5830397571466277,0.23139749653637845,-0.3182893847103906
9,PC9,-0.11862051022272331,0.23166971078433513,-0.16317047194640633,-0.3627208531437093,0.14970070364671495,-0.17607068419854002,-0.21026187158026088
10,PC1,0.27066167241974015,-0.11449530726834704,-0.7299864076400899,-0.2504361580127593,0.009694346238412616,-0.05960246902066921,0.36962717116476396
10,PC10,-0.14134862966032213,0.3548850403897336,-0.38171018819945546,-0.032415182612306574,0.2353245518175973,-0.1269644876206661,-0.00858304246506579
10,PC2,0.36018541246220237,-0.16637130845398157,-0.018568547263043564,0.16652966401148334,-0.17139534571004159,-0.347477280503968,-0.4855237088107172
10,PC3,-0.19050862169068067,0.05198650379492577,-0.07656997483692843,-0.04244929304564263,0.392934252505712,-0.3807404097143867,-0.2316853719755439
10,PC4,-0.007794247722302958,0.16727833504441122,0.1740126107434403,-0.06082055083828164,0.23311327877393972,-0.5611880887197014,0.0489789393810266
10,PC5,-0.12254507485527412,-0.37344660924947626,-0.15839186461363847,-0.25996057866284406,-0.4126962111377258,-0.18923443687466004,0.22373690543590052
10,PC6,-0.07665257496522915,0.43065589124800724,-0.10868972052507372,0.6196955175583335,0.04237769210272639,0.33313914434860087,-0.48165050705139567
10,PC7,-0.7574789382458235,0.25409801402069865,-0.2610134395332774,0.5013903093794569,0.31322962271867605,-0.23583340926101465,-0.21236125669750444
10,PC8,0.08865272434427232,0.13685808756942142,0.26377338070928946,0.10659933316017547,0.5636994763254752,0.22631316795170783,-0.31278364399366565
10,PC9,-0.12552488805367415,0.21644994229941344,-0.13401590459072338,-0.38664681305037046,0.14470947059455408,-0.1733116093680582,-0.21660833945016303
