iter,residual,energy
1,0.284951,26.80498
2,0.101116,24.517316
3,0.06446,23.710823
4,0.054776,23.418136
5,0.042328,23.270472
6,0.057732,23.216614
7,0.057191,23.186819
8,0.069678,23.148958
9,0.071001,23.439233
10,0.084177,23.527675
11,0.07419,23.594391
12,0.083548,23.49898
13,0.085936,23.708509
14,0.094246,23.606311
15,0.083738,23.63152
16,0.095876,23.748278
17,0.078209,23.656796
18,0.102308,23.725443
19,0.094515,23.82182
20,0.09345,23.777952
