PC_Num,Dataset,Feature,Slope,Intercept,R_Squared,P_Value,Std_Error
0,Standard,Length,0.3293067934008255,74.89519148981852,0.1044251430984538,0.0017822573455315027,0.1022242877664994
0,Standard,Norm,-0.21928922120634134,41.89790472360767,0.19078673664779427,1.5004457420068742e-05,0.04787179237640258
0,Standard,Tortuosity,0.01788390457020883,1.795767773230831,0.5223051589130504,6.095365837879901e-16,0.001812927589785612
0,Non-Standard,Length,0.64527168816009,74.89519148981852,0.12686445637869198,0.0005299359257637279,0.17943966908814052
0,Non-Standard,Norm,-0.38106417541282345,41.89790472360767,0.18228918183795992,2.438035530221727e-05,0.08555049807622803
0,Non-Standard,Tortuosity,0.032884365501137755,1.795767773230831,0.5587655264038034,1.7238847348323944e-17,0.0030975218567011282
0,Tangent,Length,12.090298107113064,74.89519148981852,0.306973145024409,1.2180466692811063e-08,1.9256034088309573
0,Tangent,Norm,-3.330344003004112,41.89790472360767,0.09596535332870787,0.002806597671075394,1.0835011995026997
0,Tangent,Tortuosity,0.4416283638834611,1.795767773230831,0.6946022903980182,1.2011849720058336e-24,0.031040359141189775
1,Standard,Length,0.6542170365528587,74.89519148981852,0.2632828365336812,1.987118936091083e-07,0.11600213059087641
1,Standard,Norm,0.07312445924466456,41.89790472360767,0.013552333943194727,0.27180597728552736,0.06612986584772775
1,Standard,Tortuosity,0.011997496401626196,1.795767773230831,0.15016061384649024,0.00014772525221350635,0.0030254225174799008
1,Non-Standard,Length,1.1005971340958083,74.89519148981852,0.24880269853880507,4.850165736975966e-07,0.20271357864494757
1,Non-Standard,Norm,0.1589877339070638,41.89790472360767,0.021391216342714913,0.16655125883281086,0.11398702808235846
1,Non-Standard,Tortuosity,0.01839236410647818,1.795767773230831,0.11783366124743172,0.0008649134827084257,0.005334369655464067
1,Tangent,Length,2.6168545596276456,74.89519148981852,0.011647046419121211,0.30855857875613013,2.555245968037025
1,Tangent,Norm,-2.839899092657811,41.89790472360767,0.056516123122711405,0.023262451480465764,1.2299542735454951
1,Tangent,Tortuosity,0.18202677382664414,1.795767773230831,0.09557033473729595,0.0028666567384315906,0.05935620339766032
2,Standard,Length,-0.4352625812086059,74.89519148981852,0.07766795776923052,0.007472985782854503,0.1589933775175376
2,Standard,Norm,-0.1200923416627187,41.89790472360767,0.02436013865558222,0.13957617615184303,0.08056106516760268
