Feature,tangent_result_col_0,tangent_result_col_1,tangent_result_col_2,tangent_result_col_3,tangent_result_col_4,tangent_result_col_5,tangent_result_col_6,tangent_result_col_7,tangent_result_col_8,tangent_result_col_9
local_max_1_curvature,-0.2598090774218575,0.15293783565816796,-0.29697260597565384,-0.2872108473571186,0.06276765842958876,-0.13897521689789744,-0.05619985693481458,-0.05030033770052342,-0.12496128882320628,-0.04354176527656931
local_max_1_torsion,-0.10149179009410532,-0.04121752895739805,0.24097432277965422,-0.02095715042961968,0.11369600699768793,0.2208883842700085,-0.04519976427010219,0.4085765298487941,0.09971084426008783,0.011006077632595701
local_max_2_curvature,0.03319122834641781,0.33018065132836283,0.050253837306257224,-0.03148812958839856,0.12286981807104218,-0.08608569961111057,-0.020401402846552903,0.025936887893545202,0.14032085903572944,-0.05541885605150565
local_max_2_torsion,-0.10750026232621854,-0.3338234608903142,0.18543246912843772,-0.0837706154177526,-0.10163263105049472,0.2627163029754107,-0.1356226699044114,0.23329881693794044,0.18181191681359354,0.07147300637988907
local_max_3_curvature,0.14213887610172,0.10826774111876455,-0.03446620117929305,-0.08998815319433832,-0.05187981875791155,-0.2134892978006578,-0.18301081235809114,-0.15549506111057332,-0.09450780106363596,0.09289048526151455
local_max_3_torsion,-0.026192845555680504,-0.1544382804923059,0.0922378617151301,0.07386272468941633,0.046555382023712275,0.04869103861696892,0.07127693294200974,-0.017336669458327014,0.21746901246622957,-0.06883716411664755
local_max_4_curvature,0.3900081658484169,-0.37655779616636104,-0.2103520930972991,-0.1861781696529012,-0.5237232175107849,0.037417401482056814,0.18893105471770608,-0.2343099062036811,-0.3955348607295866,0.2215255362099916
local_max_4_torsion,-0.060345928823423885,-0.10243040946589908,-0.5531561005602607,-0.014047149907421343,-0.08087657457730213,0.5810103521542537,0.06035198963939604,-0.2781500521897161,0.4292648743256246,0.09266830011114811
local_min_1_curvature,0.2827391062534842,0.5183437602048696,-0.18166472621203295,0.019076678933817273,0.13580697919467427,-0.2695158670056013,0.12221276591373613,0.04708962649358842,0.035790412176085515,-0.14579608209759665
local_min_1_torsion,-0.15220993143337372,-0.2049733880779378,0.09963548056064848,0.10984575464780705,0.012400095947330617,0.3201923238894654,-0.018000939653332132,0.27401206505965897,-0.016144699996842826,0.07083909505174713
local_min_2_curvature,-0.0709128424356528,0.035001167310188576,0.10011286459551677,-0.06392949148013186,-0.0022705106785893647,0.019629448398491796,-0.35530915218011744,-0.031777134956432154,-0.10113042212454468,0.3274001507729361
local_min_2_torsion,0.03496888479542976,-0.00989335723958592,0.22129573174870767,0.030609423790280404,0.03920703568343262,0.06321764152550349,0.004732265560060419,-0.028518509008921014,-0.057652740725029995,-0.028715833668045723
local_min_3_curvature,-0.3072470341312466,0.03141759518084187,0.35297326264424284,-0.10593850831191318,0.5154581755847276,-0.025065685437698115,0.0806460703384035,-0.012590187550013248,0.0025277986497409333,-0.028962205173566596
local_min_3_torsion,-0.23969011022373368,-0.2443996113450235,-0.5636749660749605,-0.17873264797572413,-0.4770426031409599,0.5600445123284752,0.3473695107079333,-0.17122741874727862,0.1222251516369629,0.4804319856206739
