,local_max_1_curvature,local_max_1_torsion,local_max_2_curvature,local_max_2_torsion,local_max_3_curvature,local_max_3_torsion,local_max_4_curvature,local_max_4_torsion,local_min_1_curvature,local_min_1_torsion,local_min_2_curvature,local_min_2_torsion,local_min_3_curvature,local_min_3_torsion
0,0.5566770609508864,0.05763036405389538,0.15767484077693728,0.2171958571064619,0.29556631962024826,-0.1678984591539111,,,0.2683349855697896,-0.21266258240425137,0.06965446480897249,-0.3102777808840079,,
1,0.7271557159074398,0.016455800855928113,0.17593280959178534,-0.0040213745812031935,0.17860140269369784,-0.12828390916903606,,,0.24565911206592259,-0.07409009823087474,0.1903606767854764,-0.07127075633544766,,
2,0.5369815400978076,-0.031307981419454976,0.049867750481771674,0.11644559986509145,0.17438375668137673,-0.28549813333580176,,,0.22513275149064677,0.0986641982422116,0.06793964305752598,0.14670080972598376,,
3,0.490383000385057,-0.08779506070978525,0.12472791210578932,-0.14631159908852834,0.3189803878194018,0.025831768589777756,,,0.23405113371907166,0.0636617963592198,0.05370003653987989,-0.2222914926557802,,
4,0.46804266190126337,-0.05065740676844479,0.24694560233046592,-0.15103285123808696,0.2748044411863935,-0.17545766358243597,,,0.47178360565111216,-0.1478487975473981,0.17044061181161943,-0.1940314681971072,,
5,0.4168130173462273,0.04400448867124289,0.38669893013592826,0.08618469255809709,0.3603579624792375,0.022188461551555363,,,0.2174622761581566,0.07739647319524967,0.02260955300499702,0.9983266393797069,,
6,0.8809612267742778,-0.146680903880896,0.3043491824869574,-0.08807659524650505,0.2309912694168702,0.341751051269168,,,0.3248689752584604,-0.32138288935915155,0.0490497428114179,-0.846080712017605,,
7,0.5255992786851499,-0.2472797348976565,0.15876392618780896,0.10318421751788685,0.18787424177420672,0.3057692212443094,,,0.6058548368508682,0.08976079105890085,0.16396406540116282,-0.15165736419724407,,
8,0.3106587320384421,-0.10556565331194631,0.2957396405213603,0.029315750529583802,0.381409361441503,0.4124404988997315,0.27415286255415716,0.10306449736942037,0.2580956752357115,-0.28120012758300394,0.2266722022174268,0.38218850399045196,0.15031672638402335,0.4880784073021714
9,0.4633372517015657,-0.17843827189985614,0.21447950016120726,0.41115301979320534,0.1001933659093373,0.45437813028436874,,,0.050283240244519876,-0.41566748206218784,0.14789486492964563,-0.2502446523156654,,
