iter,residual,energy
1,0.297758,25.889014
2,0.254665,25.747546
3,0.222191,25.351748
4,0.194379,25.077074
5,0.165927,25.041759
6,0.143114,24.931492
7,0.130707,24.64894
8,0.11977,24.470401
9,0.121753,23.963076
10,0.116557,23.806364
11,0.112274,23.646796
12,0.111734,23.423284
13,0.110434,23.143762
14,0.105912,23.013797
15,0.101341,22.959405
16,0.095599,22.916927
17,0.091122,22.859417
18,0.088497,22.896668
19,0.09022,22.886792
20,0.087037,22.855516
