Feature,nonstd_result_col_0,nonstd_result_col_1,nonstd_result_col_2,nonstd_result_col_3,nonstd_result_col_4,nonstd_result_col_5,nonstd_result_col_6,nonstd_result_col_7,nonstd_result_col_8,nonstd_result_col_9
local_max_1_curvature,-0.1742191030396958,0.29242239087313254,-0.1328181865058622,-0.022428861046745185,0.0380123934604924,0.015405013877124632,-0.1275204828349813,-0.22245693547217982,0.1794237809278433,0.10747285752028168
local_max_1_torsion,-0.13727787868084027,-0.39335812521826885,0.04165205837599139,-0.1359484119085283,-0.03158846319037768,-0.00921789061230805,-0.020307084366550168,0.1022161462591454,-0.1707717896997767,-0.17383318811068602
local_max_2_curvature,0.042302144347854655,0.13141511446005133,0.1407728231830756,-0.08344160867727324,0.16403249761011096,0.02782093612286806,0.019553806773819987,0.026589724353301772,-0.248305945602792,-0.16700153358358635
local_max_2_torsion,-0.08151198433039022,-0.46576994052858667,0.06425146885170062,-0.21146805752290615,-0.1046675428511734,-0.2193173193373494,-0.11463860205188652,-0.0465304230136666,-0.09145623373908875,0.16577718392266716
local_max_3_curvature,0.23588826114406647,0.1361296170446331,0.14431140721966457,0.14725277269485026,-0.03289204728044682,-0.008474298209906578,-0.004287912493389304,-0.19653954303091972,-0.05547336514278911,0.05587593696440241
local_max_3_torsion,-0.04022410892520994,-0.12259399317964664,0.023262593298210902,-0.12990953434333277,-0.12015721026487117,-0.005572144859582326,-0.21527061011368706,0.2794167417024777,-0.14991971078688368,0.08659757140952377
local_max_4_curvature,0.2657161185036954,0.24790334793576868,-0.4812540533944233,0.35460881827047264,-0.15706736310737843,-0.23256887042616498,-0.20597813040908955,-0.3086136865308716,-0.05035894098087188,0.35316972558818716
local_max_4_torsion,-0.33049434888489543,0.0973507814247871,-0.5043462774530376,-0.02019015514432637,0.0006121580263274085,-0.5476049989353392,-0.08270715136922847,0.37795218940763065,-0.23206367720599855,-0.17016489244993868
local_min_1_curvature,0.2597104084174053,0.45254977355082887,-0.003758202226167565,-0.16207685239691186,0.064763378146028,0.18897580349250076,0.06486981742896561,0.1028786279155757,-0.07404287629968202,-0.40658583759158967
local_min_1_torsion,-0.2456821646350837,-0.3821503472752427,-0.012776390054840924,-0.12206002608973451,0.11554100649731934,0.016797289875282766,-0.09408593855805047,0.09140076186708307,0.019535016463928738,-0.0411099789158077
local_min_2_curvature,-0.0408418170389303,-0.15454248370340498,0.21088878177531334,0.29994479053895573,0.1606141246143806,-0.19063401104446584,0.1696662267632184,-0.21736268862730165,0.057363024602506474,0.0015818284992936684
local_min_2_torsion,0.0337528538737517,-0.034147033683475006,0.20974794272089395,-0.1247741958947879,0.11161024587650925,0.014120212816863702,-0.09991834111579209,0.04661804921773691,-0.1560717112019741,0.08703888382282841
local_min_3_curvature,-0.31402085299862015,-0.051323094657271036,0.22327590722812618,-0.16090076243392518,-0.2757700353995073,0.06487207434155737,0.027611744984479977,0.15740139630694666,0.22577484028245623,-0.23386621509779992
local_min_3_torsion,-0.4120553375769038,0.0517153674551134,-0.551913028593876,0.09259823380803243,-0.3920391358031805,-0.34131053997906474,-0.4954637660927614,0.3204233893754685,0.3906405648072224,0.31283038391235446
