#t s x y z curvature torsion
5 0 0.133346888338082 -0.0345951350213003 0.139049693639772 0.558366875496787 -0.00980088390679455
5.1 0.0640892547772647 0.115485338491212 -0.071817986385448 0.188068638460071 0.566171861814048 -0.0104855738188103
5.2 0.127201278860137 0.0966487905844056 -0.109494462761571 0.235066459416697 0.572677823648227 -0.0112022688095789
5.3 0.189418501800297 0.0768548977806363 -0.147613445789871 0.280078988460805 0.577785873642505 -0.0119503862286636
5.4 0.250822415044645 0.0561213131020426 -0.186163817090416 0.323142057332927 0.581413837182181 -0.0127292451804985
5.5 0.311493275747782 0.0344656893012254 -0.225134458210192 0.36429149751102 0.583499068495931 -0.0135381302494108
5.6 0.371509807132101 0.0119056787325474 -0.264514250570146 0.403563140158521 0.584000657567016 -0.0143763670659213
5.7 0.430948900859669 -0.011541066776568 -0.304292075412231 0.440992816072398 0.582900882736405 -0.0152434075239148
5.8 0.489885327029058 -0.0358568960543373 -0.344456813746455 0.476616355631198 0.58020581088896 -0.0161389219286758
5.9 0.548391457318388 -0.0610241587133184 -0.384997346297926 0.510469588743105 0.575945004651944 -0.0170628951041928
6 0.606537006462284 -0.0870252052791107 -0.425902553453897 0.542588344793983 0.570170357967513 -0.0180157235623465
6.1 0.66438879668452 -0.113842387336297 -0.467161315209584 0.573008452565271 0.562954344826145 -0.0190020677717241
6.2 0.722010548785873 -0.14145805812264 -0.50876251108202 0.601765739367634 0.554388033174279 -0.0200276311261916
6.3 0.779462702787395 -0.169854574261153 -0.550695019942777 0.628896028183868 0.544577379890782 -0.0210952384621741
6.4 0.836802270793737 -0.199014297940424 -0.592947719818722 0.654435134027571 0.53363958885646 -0.0222084435531881
6.49999999999999 0.894082723368631 -0.228919599112189 -0.635509487691544 0.678418860271646 0.521699558959927 -0.0233716112140002
6.59999999999999 0.951353909474791 -0.25955285768889 -0.678369199297287 0.700882994976814 0.50888640330208 -0.0245900013813493
6.69999999999999 1.00866200913406 -0.290896465741247 -0.721515728925877 0.721863307220114 0.495330192513484 -0.0258698582782452
6.79999999999999 1.06604951719862 -0.322932829695823 -0.764937949220648 0.741395543423415 0.481159040819606 -0.0272185086330046
6.89999999999999 1.12355525600482 -0.355644372532593 -0.808624730977873 0.759515423681922 0.466496615709721 -0.0286444737462578
6.99999999999999 1.18121441421912 -0.389013535982504 -0.852564942946294 0.776258638092678 0.45146011488469 -0.030157601019927
7.09999999999999 1.2390586088756 -0.423022782736562 -0.896747451638745 0.791660843010159 0.436159148580582 -0.0317575838710599
7.19999999999999 1.29711596741952 -0.457654598954201 -0.941161121458342 0.805757655405893 0.42069591082658 -0.0334438002926057
7.29999999999999 1.35541122684839 -0.492891497531431 -0.985794815623157 0.818584642415281 0.405163171839227 -0.0352278521280532
7.39999999999999 1.4139658474074 -0.528716021668268 -1.03063739740546 0.830177308988456 0.389643528198085 -0.0371230035329808
7.49999999999999 1.47279813796007 -0.565110748447693 -1.07567773138305 0.840571085468221 0.374209409008241 -0.0391443899736548
