s,curvature,torsion
0,0.378000868627941,0.0408159368262004
0.0841345304197368,0.384930562040211,0.0435335984599679
0.166894401979833,0.391386706983365,0.0463907279484801
0.248357194731628,0.397312500792326,0.0493883588689494
0.328600151473441,0.402653454410635,0.052526935531315
0.407700003185922,0.407358527727865,0.0558063469115489
0.485732785866428,0.411381260301501,0.0592259869420416
0.562773650656363,0.414680854058782,0.0627848420481583
0.638896669436035,0.417223163131874,0.0664816056078013
0.714174638293914,0.418981547359139,0.0703148177139753
0.788678881447422,0.419937550340227,0.0742830273372886
0.862479058279681,0.42008143218811,0.0783828301409707
0.93564297595779,0.419412608292488,0.0826106680007274
1.00823640997635,0.417939479889253,0.086965381864572
1.08032293559788,0.415679127173885,0.0914465155112594
1.15196377269369,0.412656834406077,0.0960545066407733
1.22321764593476,0.408905412939754,0.100790866570368
1.29414066191595,0.40446435589081,0.105658343570398
1.36478620440438,0.399378864581802,0.11066106583508
1.4352048484916,0.393698790429296,0.115804661148909
1.50544429401712,0.387477536536089,0.121096351363643
1.57554931822578,0.380771209607364,0.126535301892353
1.64556174707539,0.37363830977874,0.132119796531992
1.71552044446761,0.366137988819873,0.137857894784685
1.78546131920311,0.358328886758884,0.143758817616026
1.85541734871698,0.350268332958862,0.149832834899091
1.92541861815648,0.342011675687186,0.156091116508511
1.99549237323654,0.333611743889198,0.162545545372065
2.06566308524581,0.325118439004832,0.169208489775033
2.13595252656225,0.316578449947284,0.176092531018304
2.20637985506376,0.308035080848676,0.183210141236278
2.27696170589858,0.299528503649978,0.190548636496035
2.34771228966048,0.291096703676609,0.198088174141747
2.41864349672522,0.282774506289049,0.20582809857322
2.4897650061629,0.274593365468076,0.213764399326111
2.56108439763483,0.266581532844017,0.221888934531779
2.63260726515941,0.258764259369909,0.230188585084118
2.7043373317814,0.25116401745263,0.23864434916055
2.77627656430705,0.243800732779366,0.247230394306047
2.84842528739104,0.236692016524887,0.255913093972951
2.9207822963745,0.229853390034638,0.264650087209764
2.99334496840971,0.223298503315775,0.273366247787281
3.06610937222838,0.217039307057144,0.281973709626636
3.13907037743817,0.211086119610993,0.290396007842287
3.21222176186147,0.205447745374785,0.298546199431005
3.28555631595235,0.200131583297071,0.306327338805686
3.3590659441159,0.195143706657267,0.313633494384336
3.43274176283395,0.190488914911047,0.320351381704039
3.50657419554304,0.186170759640316,0.326362658064276
3.58055306424473,0.182191547881386,0.331546878171473
3.65466767785619,0.178552327275753,0.335785050925333
3.72890691733011,0.175252557898702,0.338993820349939
3.80325931753177,0.172289206075666,0.341111235532709
3.87771314564325,0.1696576727185,0.342065048130524
3.95225647593652,0.167352091584194,0.341800462545391
4.02687726099928,0.165365332116948,0.340282789634481
4.1015633995324,0.1636890182873,0.337499236164049
4.1763028008344,0.162313566355447,0.333459664213868
4.25108344608294,0.161228242882019,0.328196241276992
4.32589344651679,0.160421242639965,0.321762000357601
4.40072109861396,0.159879784510798,0.314228426104417
4.47555493631582,0.15958997361394,0.30577606491772
4.55038377941038,0.159536277636316,0.29660436892758
4.62519677645062,0.159702572753533,0.286827338132022
4.69998344357625,0.160072536444648,0.276558989312341
4.7747337002362,0.160629758092974,0.26591013997485
4.84943790194252,0.161357838354825,0.254985747264471
4.92408687013598,0.162240475404223,0.243882859264559
4.99867191923161,0.163261537085557,0.232689181556138
5.07318488090026,0.164405118850809,0.221482218852135
5.14761812563191,0.16565558807072,0.210328921754223
5.22196458156487,0.16699770574807,0.1993664046651
5.29621774933311,0.16841699290284,0.188718038114717
5.37037171096094,0.169899595357922,0.178415220479752
5.44442113496317,0.171432196751882,0.168480897474503
5.51836127899628,0.173001997145986,0.15893070476833
5.59218799015736,0.174596689237117,0.149774072799185
5.66589770297096,0.176204433715437,0.141015261568741
5.73948743509956,0.177813835049502,0.132654305561499
5.81295478081019,0.179413918731694,0.124687858677732
5.8862979022282,0.180994110782819,0.117109936392318
5.95951551837914,0.182544654794894,0.109922855424339
6.03260689137437,0.184057926435848,0.103123421130746
6.10557180897636,0.185527156822157,0.096695917978009
6.17841056516245,0.186945986068516,0.0906249793373072
6.25112393955447,0.188308448349993,0.0848957751666613
6.32371317580895,0.189608960238554,0.0794941507613955
6.3961799590335,0.190842311956289,0.0744067257912265
6.46852639229643,0.192003661171055,0.0696209614862378
6.54075497229845,0.193088528952693,0.0651252026065824
6.61286856427702,0.194092797508353,0.0609086997408941
6.68487037627457,0.195012837946617,0.0568904954411796
6.75676393432751,0.195845855976745,0.0529897173704929
6.82855306112641,0.196589437440373,0.0491968962278548
6.90024185601972,0.197241413121749,0.0455031520917941
6.97183467498099,0.197799862246771,0.0419001529064749
7.04333611053507,0.198263115633285,0.0383800743260784
7.11475097169701,0.198629758326743,0.0349355610945821
7.186084263978,0.198898631574126,0.0315596900649773
7.25734116951265,0.199068834008449,0.0282459349086292
7.32852702736163,0.199139721936231,0.0249881325234447
7.39964731409107,0.199111005475233,0.0217841702561282
7.47070762588118,0.198983014490968,0.0186321431352956
7.54171366420668,0.198756364554441,0.015526742386651
7.61267122333665,0.198431849083954,0.0124630186314417
7.68358617851942,0.19801043329591,0.00943635068238509
7.75446447483355,0.197493247571539,0.00644241698856204
7.82531211673004,0.196881580297445,0.00347716950834643
7.89613515828857,0.196176870247324,0.000536809813628354
7.96693969420768,0.195380698580166,-0.00238223274695623
8.03773185154609,0.194494780537095,-0.00528332097611183
8.10851778224738,0.193520645319623,-0.00815295382224293
8.17930365686791,0.192458685301659,-0.0109772452580765
8.25009565997195,0.191309072818576,-0.0137588746372274
