Filename,Length
BG_0001_ICA_L,83.95525851788386
BG_0001_ICA_R,88.62369094413644
BG_0002_ICA_L,45.35609367412668
BG_0002_ICA_R,45.2735622757946
BG_0004_ICA_L,87.84576676212495
BG_0004_ICA_R,93.98645551566818
BG_0006_ICA_L,87.5638808143798
BG_0006_ICA_R,88.2781852618579
BG_0007_ICA_L,73.89299074437233
BG_0007_ICA_R,74.72521333268234
BG_0008_ICA_L,81.45683880205642
BG_0008_ICA_R,75.07406599444133
BG_0009_ICA_L,98.33347267081419
BG_0009_ICA_R,90.29335057529778
BG_0010_ICA_L,94.56425082094809
BG_0010_ICA_R,88.46046497991904
BG_0011_ICA_L,112.96711058640552
BG_0011_ICA_R,109.01536666673614
BG_0012_ICA_L,72.19953417356905
BG_0012_ICA_R,80.85872814692156
BG_0017_ICA_L,83.24772687309003
BG_0017_ICA_R,80.95743128519423
BG_0018_ICA_L,102.58711932027191
BG_0018_ICA_R,100.85586960739127
BG_0019_ICA_L,77.10383991383024
BG_0019_ICA_R,76.60763825959916
BG_0020_ICA_L,104.71967681505349
BG_0020_ICA_R,98.18897317920235
BG_0021_ICA_L,86.87258438890306
BG_0021_ICA_R,83.94747880715344
BG_0022_ICA_L,87.71289325559678
BG_0022_ICA_R,89.08665543017038
BH_0002_ICA_L,46.087422810220524
BH_0002_ICA_R,66.86112362661854
BH_0003_ICA_L,62.16707987887111
BH_0003_ICA_R,67.66450764171339
BH_0004_ICA_L,46.38180671387174
BH_0004_ICA_R,49.49854844147166
BH_0005_ICA_L,69.7434999283112
BH_0005_ICA_R,75.9671883339748
BH_0006_ICA_L,77.32589815482102
BH_0006_ICA_R,71.59260177244505
BH_0008_ICA_L,46.5966148304068
BH_0008_ICA_R,46.75618362461596
BH_0009_ICA_L,86.48618450316016
BH_0009_ICA_R,89.95947896213346
BH_0010_ICA_L,93.909540380944
BH_0010_ICA_R,91.95235136591216
BH_0011_ICA_L,76.88084717440772
BH_0011_ICA_R,71.93641257493763
BH_0012_ICA_L,88.49094800573556
BH_0012_ICA_R,90.89854643418249
BH_0013_ICA_L,71.62350884961104
BH_0013_ICA_R,70.37673343213754
BH_0014_ICA_L,80.04841451879571
BH_0014_ICA_R,80.25310292651349
BH_0015_ICA_L,65.43982241884687
BH_0015_ICA_R,64.46274479594449
BH_0016_ICA_L,108.28896449202762
BH_0016_ICA_R,105.21191067417092
BH_0017_ICA_L,69.32519384373234
BH_0017_ICA_R,69.78410146040993
BH_0018_ICA_L,75.32943620954677
BH_0018_ICA_R,79.80298875517425
BH_0019_ICA_L,77.34018139581144
BH_0019_ICA_R,77.90771302210169
BH_0020_ICA_L,75.32888753273005
BH_0020_ICA_R,78.16643090000848
BH_0021_ICA_L,78.7916300901484
BH_0021_ICA_R,68.79557141910048
BH_0022_ICA_L,72.04663911752839
BH_0022_ICA_R,77.07461119714365
BH_0023_ICA_L,73.63851583765874
BH_0023_ICA_R,74.5356402839191
BH_0024_ICA_L,89.59394949465987
BH_0024_ICA_R,91.27857505830285
BH_0025_ICA_L,100.23428361941382
BH_0025_ICA_R,100.62615053272243
BH_0026_ICA_L,75.71387690386615
BH_0026_ICA_R,76.99992428218115
BH_0027_ICA_L,70.67203516528973
BH_0027_ICA_R,71.93633014378436
BH_0029_ICA_L,75.05330466199219
BH_0029_ICA_R,73.7630081110224
BH_0030_ICA_L,72.56237411620597
BH_0030_ICA_R,86.42998425681401
BH_0031_ICA_L,74.62351236143094
BH_0031_ICA_R,76.96043663283763
BH_0032_ICA_L,53.57672743558529
BH_0032_ICA_R,45.155397695328055
BH_0034_ICA_L,76.07742763569078
BH_0034_ICA_R,77.35933903513414
BH_0035_ICA_L,86.81984904686489
BH_0035_ICA_R,87.76480171002693
BH_0036_ICA_L,94.88444764218696
BH_0036_ICA_R,90.06312090978295
BH_0038_ICA_L,88.68742535455591
BH_0038_ICA_R,91.58038078996458
BH_0039_ICA_L,84.571560137977
BH_0039_ICA_R,86.67857184155577
BH_0040_ICA_L,82.74721266474162
BH_0040_ICA_R,75.15379258977794
BI_0001_ICA_L,74.67954908801057
BI_0001_ICA_R,77.82844812917241
