#fname degree numKnot L1 L2 L3 L4 MSE traceH AIC AIC0 GCV GCV2 cv_avr cv_stdev cv_error ts_avr ts_stdev ts_error sigma0 sigma_opt
BG_0006_ICA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0 0.00033575481839621 120 -844.473411306497 6542.74910347303 0.0278013448980296 0.0206727949241746 0.425725226985272 0.402095566058231 0.680961308673206 -0.217831316546122 2.06966912715701 2.10302160966725 1 0.00036762137467437 
BG_0006_ICA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0 0.00032097413561753 121 -888.341069961123 6548.73349507202 0.0273001920732966 0.0202342600072668 0.432426675065245 0.406799707472787 0.678374924418225 -0.205887098633619 2.28553450200986 2.31388602412544 1 0.000340951653439749 
BG_0006_ICA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0001 0.000338474831340835 116.419739475606 -858.141681028157 6521.27041266034 0.0274895073025402 0.0206772712159957 0.413468698602232 0.348011629935737 0.660879280549441 -0.236784341621777 2.05007877491167 2.08722131423568 1 0.00036762137467437 
BG_0006_ICA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0001 0.000323860559292674 117.391685225643 -901.05108877469 6527.08665448928 0.0270009033529648 0.0202469006506107 0.419250135894415 0.347626886610419 0.655767392925458 -0.239948529083819 2.29109621930874 2.3249263428136 1 0.000340951653439749 
BG_0006_ICA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0002 0.000339525622587817 114.914092589571 -864.157142760372 6512.23764097969 0.0273572979697777 0.0206762095651063 0.412038431358247 0.346404853095047 0.661252464401448 -0.313790134294794 3.74133678220678 3.77061988646578 1 0.00036762137467437 
BG_0006_ICA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0002 0.000325173782369347 115.864008824541 -906.149815185768 6517.92198284623 0.026880555461687 0.0202549418388597 0.417234951445312 0.345718332137266 0.656469889121039 -0.244940653606229 2.19440639292352 2.23059419077301 1 0.000340951653439749 
BG_0006_ICA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.0005 0.00034394133321447 111.367443728972 -872.752815845968 6490.96241080651 0.0271287925144551 0.0207320951875807 0.409001112872462 0.342364864371376 0.661742402421487 -0.225093012083254 1.71737652268578 1.7589833605928 1 0.00036762137467437 
BG_0006_ICA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.0005 0.000330695481939348 112.268748817966 -910.619493808611 6496.35625372153 0.0267012837645098 0.0203483740429758 0.412955926703395 0.341190429735923 0.657751228912072 -0.244692636951648 1.89089543749741 1.93272298820044 1 0.000340951653439749 
BG_0006_ICA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.001 0.000352380343415944 107.207089037728 -873.473712697644 6466.00919425382 0.026992907343901 0.0208928806941024 0.406381925111719 0.337794990868461 0.661640450200647 -0.225213096997053 1.70962840100471 1.75144539354399 1 0.00036762137467437 
BG_0006_ICA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.001 0.000340951653439749 108.058060615701 -904.118072114446 6471.10295502505 0.0266441942792667 0.0205697295027516 0.409193732686189 0.336368098032332 0.658494253773681 -0.251015767910733 1.77631757619559 1.8221784067874 1 0.000340951653439749 
