#t s x y z curvature torsion
5 0 0.000120684283991028 0.000785763437186768 0.00146994556683492 0.0811426536237133 -0.304722317735605
5.1 0.0593155368033168 0.0437728828865932 -0.0290144253179689 0.0283914465201938 0.0816717798853697 -0.340481415376948
5.2 0.118598534640548 0.0873575305329276 -0.0586461444502504 0.0555357561150172 0.0833650698078926 -0.339781523065614
5.3 0.177870946390877 0.1308925743063 -0.0881118712281544 0.0829162181966013 0.0854210248730852 -0.317436766258548
5.4 0.237154929944708 0.174396074379667 -0.117414176766403 0.110546112831227 0.0869337482407405 -0.288104142671769
5.5 0.296471763335897 0.217885643617052 -0.14655706301849 0.138435829072212 0.0869532497583263 -0.262919184620562
5.6 0.355840682321198 0.26137788717496 -0.175547299769223 0.16659003772597 0.0845332961382764 -0.250737983000101
5.7 0.415277642946527 0.304887842103792 -0.204395761627272 0.195004864118058 0.078762487482749 -0.263119624339072
5.8 0.474794022699366 0.348428416949262 -0.233118765017713 0.223665060859235 0.0687913840777446 -0.327908358361133
5.9 0.534395289602322 0.392009831353809 -0.261739405174572 0.252541180611517 0.0539018036342083 -0.547629151418197
6 0.594079688825552 0.435639055658012 -0.290288893133372 0.281586748854225 0.0339307279822054 -1.55500651433513
6.1 0.653837047388666 0.479319261606838 -0.318807855463006 0.310735510377653 0.015879762975527 -8.34902007392668
6.2 0.71364845802463 0.523049561781466 -0.347346665220144 0.339900592694469 0.0348273367440951 -2.0002341161515
6.3 0.773487997737189 0.566825481949891 -0.375963313699318 0.368978535473111 0.0692416097557145 -0.562929775364802
6.4 0.833325415466153 0.610639722143116 -0.404720313405534 0.397855236888917 0.106418813552372 -0.253894697900695
6.49999999999999 0.893128994063466 0.654482928836164 -0.433681563766219 0.42641197370287 0.143600132387859 -0.141156556138047
6.59999999999999 0.952868374552767 0.698344467129098 -0.462909216843164 0.454531421340345 0.178765734354494 -0.0864440472145534
6.69999999999999 1.01251713898711 0.742213192928037 -0.492460543044467 0.482103673969844 0.20997346080442 -0.0541885936781144
6.79999999999999 1.07205495056173 0.786078225126175 -0.522384796836483 0.509032264581744 0.23524098822275 -0.031642248292398
6.89999999999999 1.13146907395134 0.829929717784793 -0.552720082455763 0.535240185067041 0.252515879871443 -0.0127364720918527
6.99999999999999 1.19075514873516 0.873759632314283 -0.583490219621001 0.560675906296088 0.259679521679054 0.0067878602126381
7.09999999999999 1.24991715712469 0.917562506776532 -0.614701663060309 0.585319307521619 0.255176153266035 0.029632945950945
7.19999999999999 1.30896641288311 0.961336150342987 -0.646341821237123 0.60918524821305 0.23988168598584 0.0598004961754581
7.29999999999999 1.36791967214524 1.00508214776328 -0.678380926887997 0.632321155293234 0.215351927954104 0.106710732623817
7.39999999999999 1.42679747881808 1.04880628898955 -0.710775306759034 0.6548022528065 0.183233084704213 0.190212045433279
7.49999999999999 1.48562324909351 1.09251899592206 -0.743470705157644 0.676726700910969 0.145286223349082 0.363117530802797
7.59999999999999 1.54442313022433 1.13623574915495 -0.776405607504296 0.698210734870867 0.103509512357754 0.809690052071166
7.69999999999999 1.60322656469797 1.17997751472185 -0.809514563884283 0.719383804048843 0.0608687592331114 2.5075492593247
7.79999999999999 1.66206741858339 1.22377117084156 -0.842731512599475 0.740383710898283 0.0290022015774097 11.1390509163635
7.89999999999999 1.72098548050287 1.26764993466375 -0.875993103720079 0.761351749955623 0.0476568453131277 3.85856897864642
7.99999999999999 1.78002810634563 1.31165378901464 -0.909242022636397 0.782427846832669 0.0868453357451722 0.971604374450542
8.09999999999999 1.83925170009173 1.35582984212517 -0.942430293159649 0.803745658339785 0.124892407920118 0.336733453804819
8.19999999999999 1.89872092025042 1.4002309449062 -0.975522048898571 0.825426662011851 0.156566346075892 0.12609721922008
8.29999999999999 1.95850237269748 1.44490988507312 -1.00849495487449 0.847571680272024 0.178326412404109 0.0361720465664587
8.39999999999999 2.01865562975912 1.48991183881753 -1.04134109741218 0.870251393998256 0.187232214130462 -0.0117119281841561
8.49999999999999 2.07922343254087 1.53526675546133 -1.07406785357976 0.893496817220695 0.180783021153421 -0.0481156892810306
8.59999999999999 2.14022130781306 1.58098174211088 -1.10669876062863 0.917289771819087 0.156918208775857 -0.0989359753661456
8.69999999999999 2.20162694920313 1.62703344831114 -1.13927438543338 0.941553362220172 0.114334754729802 -0.244516694606572
8.79999999999999 2.26336990957929 1.67336045069982 -1.17185319393169 0.966142450095086 0.0572728936388916 -1.25848525394383
8.89999999999999 2.32532236316097 1.71985563766155 -1.20451242056428 0.99083412905676 0.0692280658934678 -1.16776793179483
8.99999999999999 2.38729196460876 1.76635859398196 -1.2373489377148 1.01531819935732 0.183810361778651 -0.240230516167589
9.09999999999999 2.44901850877325 1.81264820967963 -1.27048005661331 1.03918798556471 0.340930312743744 -0.100021475464477
9.19999999999999 2.51018294729632 1.85844111745857 -1.30404254629317 1.0619400716994 0.533644843509443 -0.0549499556474948
9.29999999999998 2.57044053657058 1.90340492589031 -1.33818712914473 1.08299667300046 0.759499464826625 -0.0351497006116929
9.39999999999998 2.62946692184674 1.94717728121658 -1.37307119452234 1.10173692515168 1.01656747417518 -0.0246783940172283
9.49999999999998 2.68700912431301 1.98938515332974 -1.40885144381506 1.11752851648693 1.29996023423182 -0.0183446647940564
9.59999999999998 2.74293832272936 2.02966412175327 -1.44567653551722 1.12975932019556 1.59741673560669 -0.014020100247817
9.69999999999998 2.79729859649418 2.06767766162215 -1.4836797302991 1.13786902652773 1.8845471585613 -0.01066516052375
