#t s x y z curvature torsion
5 0 0.0027747856114802 -0.00238872154948853 -0.0011478428891447 1.06812695885519 -0.00292533459353665
5.1 0.0689311146213228 -0.0215615981216051 -0.0663243969344639 -0.00960174156378105 0.885129223294225 -0.00461737874370498
5.2 0.139083439418593 -0.0425156056840485 -0.132567876322329 -0.0193012095968355 0.710772724603409 -0.00688375538942994
5.3 0.210447766313234 -0.0606664792008091 -0.200744939673302 -0.030039038825369 0.54799640007207 -0.0104458589037968
5.4 0.282907673277994 -0.0765966487854563 -0.27047909910281 -0.041606874535044 0.397069800948774 -0.0173819160544754
5.5 0.356267596608092 -0.0908875246706494 -0.341393579184552 -0.0537964492679065 0.256762140278234 -0.0360533258486171
5.6 0.430278148522072 -0.104115289338616 -0.41311329725356 -0.0664008166301669 0.125319926467772 -0.133807512446679
5.7 0.50465852974589 -0.116846689651633 -0.485266843709263 -0.0792155850999825 0.0161551117466376 -7.50132183405551
5.8 0.579116358172709 -0.129634828982502 -0.557488462318547 -0.0920401518352379 0.124106862549894 -0.12945612771261
5.9 0.653365380183769 -0.143014959345034 -0.629420030518818 -0.104678936481328 0.243034720917876 -0.0385490132598581
6 0.72714149622604 -0.157500273524524 -0.700713039721063 -0.116942614978938 0.361579022058662 -0.0222231642369277
6.1 0.800217429298093 -0.173577671154971 -0.771030612997739 -0.12864937235504 0.480167784482028 -0.0160398990107443
6.2 0.872416921673473 -0.191702847411556 -0.840050494776034 -0.139626649077456 0.597855072874108 -0.0117694918509856
6.3 0.943629261235913 -0.212293662187987 -0.907470507929419 -0.149714140301558 0.71230309138992 -0.00805664791755139
6.4 1.01382159475099 -0.235722831889102 -0.973014982874575 -0.158767288680529 0.819678254110715 -0.00430705593545855
6.49999999999999 1.08304662408753 -0.262310595170218 -1.03644122405315 -0.166660796158843 0.914615773280767 -0.000134418403114013
6.59999999999999 1.15144379129782 -0.292317378676471 -1.0975459764135 -0.17329213576575 0.99057140463523 0.00481076374511379
6.69999999999999 1.21923210787882 -0.325936462782158 -1.15617189189245 -0.178585063408748 1.0406630361997 0.010935199933051
6.79999999999999 1.28669340559022 -0.363286647330086 -1.21221399589706 -0.182493129667067 1.05890988192848 0.0188138702147839
6.89999999999999 1.35414613831747 -0.404404917370915 -1.26562615378634 -0.185003191585147 1.04150261947725 0.0293959339956374
6.99999999999999 1.42191172834484 -0.449239108902497 -1.31642753735305 -0.186138924466117 0.987571904957937 0.0444528348381555
7.09999999999999 1.49027725721248 -0.497640798788525 -1.36470891506697 -0.185964225942812 0.900333672672091 0.0630645770949694
7.19999999999999 1.55946066551069 -0.549364023338958 -1.41063436011941 -0.184583819264682 0.789561739807914 0.0840572111011111
7.29999999999999 1.62958818105545 -0.604078792724202 -1.45443132673186 -0.182136746902004 0.665619739929711 0.110844512467276
7.39999999999999 1.70068819743614 -0.661390434051084 -1.49637614426588 -0.178787063365977 0.536945149318313 0.149585204167787
7.49999999999999 1.77269884562273 -0.720859158618113 -1.53677933509448 -0.174714420306368 0.409773854788501 0.214056724848113
7.59999999999999 1.84548506980551 -0.78201962917075 -1.57597093247355 -0.170104651609146 0.288506055322701 0.343655467023796
7.69999999999999 1.91886115304548 -0.844400527156677 -1.61428579841326 -0.165140358494127 0.17638707379123 0.702104677050336
7.79999999999999 1.99261533322238 -0.907544119981058 -1.65204894154945 -0.159991494612605 0.0764463726878212 2.78541667859645
7.89999999999999 2.06653393236139 -0.971025828261811 -1.68956083501508 -0.154805951144997 0.0170679447528354 43.2481626740315
7.99999999999999 2.14042308214044 -1.03447379308488 -1.72708273431162 -0.14970014189848 0.0802957992492435 1.82202552393105
8.09999999999999 2.21412654517794 -1.09758819430707 -1.7648221889949 -0.144749749763173 0.127814092799222 0.86453462512914
8.19999999999999 2.28753577548513 -1.16015409609628 -1.80292359353673 -0.139984668490409 0.156893652057121 0.741934483884092
8.29999999999999 2.36058789809665 -1.2220378616127 -1.84147152994022 -0.135394594134797 0.169935275405014 0.788800540265401
8.39999999999999 2.43325849006664 -1.2831770949273 -1.88049914953097 -0.130938811818365 0.169390420952264 0.92409146286124
8.49999999999999 2.50555379718953 -1.343570333988 -1.91999674856254 -0.126556143853254 0.157806575156728 1.14794960856846
8.59999999999999 2.57750343300321 -1.40326674358575 -1.95992034382204 -0.122174897864412 0.137881955918012 1.49780139495303
8.69999999999999 2.64915403881668 -1.46235580832071 -2.00020024823567 -0.117722814912284 0.112463059405718 2.0657048564872
8.79999999999999 2.72056402339354 -1.52095702556835 -2.04074964647431 -0.113137017615503 0.084514361311577 3.08586737654584
8.89999999999999 2.79179922813802 -1.57920959844556 -2.08147317055902 -0.108373958273583 0.0572278372785143 5.28547929267198
8.99999999999999 2.86292919607296 -1.6372621287768 -2.12227547546665 -0.103419366989611 0.0353087956561323 10.9096464203355
9.09999999999999 2.93402369890496 -1.69526237215149 -2.16306973673566 -0.0982980049714154 0.030934210694053 13.6323206704007
9.19999999999999 3.00514975955336 -1.75334860735407 -2.20378412008046 -0.0930783524730959 0.0497623488937773 6.10803980740057
9.29999999999998 3.07636998319525 -1.81164510381715 -2.24436310302704 -0.0878644385159516 0.0762994713103655 3.12091255776724
9.39999999999998 3.14774150337709 -1.87025920344739 -2.284766768557 -0.0827826052497699 0.10323377453736 1.9591053608306
9.49999999999998 3.21931492263868 -1.92927846454252 -2.32497002075203 -0.0779680774925921 0.127257587786921 1.38191303732377
9.59999999999998 3.29113295677029 -1.98876780570851 -2.36496180043818 -0.07355153227048 0.14579309774113 1.04554026380359
9.69999999999998 3.36322847951528 -2.04876664977665 -2.40474430083034 -0.0696456683572816 0.156467101650885 0.831887964373711
9.79999999999998 3.4356217268573 -2.10928606772062 -2.44433218317658 -0.0663317758143971 0.157027450449098 0.694125945375845
9.89999999999998 3.50831656868572 -2.17030592257365 -2.48375179240255 -0.063646305530545 0.145317599500494 0.61902000515323
9.99999999999998 3.58129598049481 -2.23177201334556 -2.52304037275585 -0.0615674387615276 0.119236835183085 0.638071688285336
10.1 3.65451719744263 -2.29359330244934 -2.56224526917904 -0.0600018969023553 0.0776260336127393 1.12378577859812
10.2 3.72790881355059 -2.35564131437331 -2.60142275762567 -0.0587779973006644 0.0240808221550911 11.3976773105267
10.3 3.8013734371078 -2.41775504597678 -2.64063593346271 -0.0576545644057319 0.0459880560077935 3.72035027624123
10.4 3.87479442706859 -2.47974804803132 -2.67995222881603 -0.056336086958784 0.11947317362487 0.698534797522382
10.5 3.94804507315591 -2.5414155902715 -2.71944091564455 -0.0544881154156634 0.199444690119541 0.312510755431059
10.6 4.02099949720239 -2.6025418264456 -2.75917060881428 -0.0517526593694959 0.283085055653365 0.184644765809647
10.7 4.09354435314201 -2.66290695936634 -2.79920676917244 -0.0477635849733569 0.367804620403374 0.122649727743047
10.8 4.16559019535824 -2.72229440596162 -2.83960920662154 -0.0421620123629385 0.450643709864511 0.0850429025566345
10.9 4.23708120273761 -2.78049796232521 -2.88042958319347 -0.034611713079216 0.528063468973536 0.0580788726450322
11 4.30800180522898 -2.83732896876751 -2.92170891612361 -0.0248145074911145 0.595874063835389 0.0356577530515942
11.1 4.37837872955896 -2.89262340972647 -2.96347512624137 -0.0125254892397051 0.650089422405033 0.0168971946455791
11.2 4.44827755679434 -2.94624732004388 -3.00574176458852 0.00243624775784909 0.689526532523821 0.00110296480152829
11.3 4.51779529547901 -2.99809789201533 -3.04850972992354 0.0201882988834384 0.713925156299925 -0.0140871206199476
11.4 4.58705134637308 -3.04810288880552 -3.09177016445374 0.0407901358334019 0.723394956337965 -0.0302248346164463
11.5 4.65617800040836 -3.09621999272376 -3.13550739488387 0.064248466612394 0.718520047211579 -0.0486158053402857
11.6 4.72531131585115 -3.14243615349951 -3.17970187346466 0.0905225955272499 0.700371574271413 -0.0706419581829614
11.7 4.79458312356449 -3.18676693655789 -3.22433311904143 0.119529783180852 0.670437087892658 -0.0980364798361261
11.8 4.86411474953405 -3.2292558712952 -3.26938265810266 0.151150606465996 0.630495418857185 -0.133220496843335
11.9 4.93401284096966 -3.26997379935444 -3.31483696582862 0.185234318559257 0.582476916025018 -0.179812703583374
12 5.00436747134061 -3.30901822290082 -3.3606904071399 0.221604208914857 0.52835016759971 -0.243481667314222
12.1 5.07525242682326 -3.34651263267394 -3.40694808744809 0.260062929148991 0.469956486489472 -0.318282886808705
12.2 5.14672531601065 -3.38260531023211 -3.45362635566083 0.300396932076225 0.408664906942125 -0.396267399622571
12.3 5.2188236964709 -3.41746679545407 -3.50074734752475 0.342378659516512 0.345642278993667 -0.485259610432053
12.4 5.29156046235985 -3.45128682823282 -3.54833118122276 0.385767843254266 0.281864998276442 -0.601779945515506
12.5 5.3649204508882 -3.48427126994613 -3.59638806267344 0.430312771887913 0.218095956933958 -0.788881646894128
12.6 5.43885806747467 -3.51663902492707 -3.64491039083042 0.47575155767943 0.155067599016998 -1.19172265499744
12.7 5.51329562752446 -3.54861896193454 -3.6938648629818 0.52181340340389 0.0946563964171045 -2.51546713470624
12.8 5.58812214757453 -3.5804468356237 -3.74318458004949 0.568219869199004 0.0501202161744165 -8.13440320413656
12.9 5.66319239293215 -3.61236220801658 -3.79276115188864 0.614686139414666 0.0732867867035914 -4.42102646377114
13 5.73832609599852 -3.64460536997249 -3.84243680258699 0.660922289462499 0.138152125360584 -1.79711410256291
13.1 5.81330759421508 -3.67741427612834 -3.89199668098658 0.706634642329899 0.215619830749679 -1.12466313239675
13.2 5.88789099583494 -3.71102183005178 -3.9411665069845 0.751529456371254 0.301657625332246 -0.843535640602028
13.3 5.96181886767108 -3.74565405839645 -3.98962376250384 0.795322530956584 0.394662645927893 -0.700799587606102
13.4 6.03484644954777 -3.78152863527019 -4.03701421824378 0.837751143397334 0.493098213171832 -0.624975338194693
13.5 6.10676614420777 -3.818853420073 -4.0829686656519 0.878586075536692 0.59475413816504 -0.590032339518882
13.6 6.17743145654855 -3.8578249953349 -4.12711964889655 0.917643640339888 0.696172915337381 -0.585719227857964
13.7 6.24677929779929 -3.89862720455392 -4.16911819683919 0.954797708484512 0.792152108656573 -0.609159579250144
13.8 6.31484896508558 -3.94142969003398 -4.20865055500671 0.989991734950814 0.875504988380632 -0.662320549319035
