---- load DICOM ----
D:\data\hoshina\20131109\56M\20100720\00000001
input voxel : size = 512 512 309 : res= 0.781000 0.781000 0.800003 
debug:input voxel : size = 512 512 309 : res= 0.781000 0.781000 0.800003 
---- histogram ----
-500 : 54325661
-450 : 202793
-400 : 194406
-350 : 192962
-300 : 189926
-250 : 196404
-200 : 258713
-150 : 2089648
-100 : 5169537
-50 : 2823694
0 : 4292738
50 : 5369301
100 : 1561809
150 : 1024956
200 : 1060178
250 : 645136
300 : 325913
350 : 204948
400 : 161461
450 : 131217
500 : 105971
550 : 85600
600 : 69107
650 : 55936
700 : 45496
750 : 36604
800 : 29781
850 : 24320
900 : 19854
950 : 15815
1000 : 92611
